"","sex","minority","mathkind","mathgain","ses","yearstea","mathknow","housepov","mathprep","classid","schoolid","childid"
"140",1,0,527,38,0.1,2,-0.72,0.101,2,285,11,140
"141",1,0,516,51,0.8,4,-1.02,0.101,2.5,293,11,141
"142",0,1,434,94,-0.77,4,-1.02,0.101,2.5,293,11,142
"143",1,0,499,39,1.32,4,-1.02,0.101,2.5,293,11,143
"144",0,0,469,96,0.03,4,-1.02,0.101,2.5,293,11,144
"145",0,1,424,36,-0.03,6,0.32,0.106,3,20,12,145
"146",0,1,485,58,-0.03,6,0.32,0.106,3,20,12,146
"147",1,1,463,53,0.59,6,0.32,0.106,3,20,12,147
"148",0,1,427,63,0.45,5,-0.84,0.106,1.5,49,12,148
"149",0,1,401,74,-0.22,5,-0.84,0.106,1.5,49,12,149
"150",1,1,486,23,0.61,5,-0.84,0.106,1.5,49,12,150
"151",1,1,522,12,-0.03,5,-0.84,0.106,1.5,49,12,151
"152",0,1,450,53,-0.03,5,-0.84,0.106,1.5,49,12,152
"153",0,1,408,104,-0.03,5,-0.84,0.106,1.5,49,12,153
"154",0,1,493,27,1.12,2,1.21,0.106,2,81,12,154
"155",1,1,417,46,-0.03,2,1.21,0.106,2,81,12,155
"156",0,1,428,95,-0.03,2,1.21,0.106,2,81,12,156
"157",1,1,453,50,-0.6,2,1.21,0.106,2,81,12,157
"158",1,1,435,84,-0.03,2,1.21,0.106,2,81,12,158
"159",1,1,450,40,-0.6,2,1.21,0.106,2,81,12,159
"160",1,1,464,59,-0.03,2,1.21,0.106,2,81,12,160
"161",1,1,433,91,-0.42,2,1.21,0.106,2,81,12,161
"162",0,1,429,111,0.73,16,NA,0.106,3.06,251,12,162
"163",1,1,497,41,0.88,16,NA,0.106,3.06,251,12,163
"164",0,1,430,18,0.26,16,NA,0.106,3.06,251,12,164
"165",1,1,535,28,0.07,25,-0.19,0.106,2.5,302,12,165
"166",0,1,535,5,0.18,25,-0.19,0.106,2.5,302,12,166
"167",1,1,508,67,1.64,25,-0.19,0.106,2.5,302,12,167
"168",0,1,459,59,-0.03,25,-0.19,0.106,2.5,302,12,168
"169",0,1,474,45,0.73,25,-0.19,0.106,2.5,302,12,169
"170",0,1,491,47,-0.03,25,-0.19,0.106,2.5,302,12,170
"171",1,1,491,26,1.32,25,-0.19,0.106,2.5,302,12,171
"172",0,1,433,52,0.86,20,0.12,0.055,2.5,64,13,172
"173",1,0,462,32,0.58,20,0.12,0.055,2.5,64,13,173
"174",1,0,462,44,-0.76,20,0.12,0.055,2.5,64,13,174
"175",1,0,506,41,-0.24,20,0.12,0.055,2.5,64,13,175
"176",0,0,477,98,0.01,20,0.12,0.055,2.5,64,13,176
"177",1,0,466,59,0.29,1,1.19,0.055,2,166,13,177
"178",0,0,529,-11,0.08,1,1.19,0.055,2,166,13,178
"179",1,0,499,35,-0.19,1,1.19,0.055,2,166,13,179
"180",0,1,481,79,0.31,1,1.19,0.055,2,166,13,180
"181",0,1,470,26,-0.37,17,0.86,0.157,5.25,41,14,181
"182",0,1,519,-11,-0.14,17,0.86,0.157,5.25,41,14,182
"183",1,1,441,23,0.05,17,0.86,0.157,5.25,41,14,183
"184",0,1,436,88,0.29,17,0.86,0.157,5.25,41,14,184
"185",1,1,431,52,-1.12,17,0.86,0.157,5.25,41,14,185
"186",0,1,515,13,0.24,24,0.12,0.157,3,141,14,186
"187",0,1,467,32,-0.42,24,0.12,0.157,3,141,14,187
"188",1,1,455,19,-0.3,24,0.12,0.157,3,141,14,188
"189",1,1,415,62,-0.2,24,0.12,0.157,3,141,14,189
"190",0,1,477,69,0.09,24,0.12,0.157,3,141,14,190
"191",0,1,490,71,0.01,22,-0.42,0.157,2,167,14,191
"192",0,1,521,25,0.06,22,-0.42,0.157,2,167,14,192
"193",0,1,437,90,0.03,22,-0.42,0.157,2,167,14,193
"194",0,1,526,41,-0.39,22,-0.42,0.157,2,167,14,194
"195",1,1,434,65,0.34,22,-0.42,0.157,2,167,14,195
"196",0,1,342,182,-0.24,14,0.15,0.121,1.33,5,15,196
"197",1,1,404,79,0.73,24,-0.7,0.121,6,85,15,197
"198",1,1,457,36,0.07,24,-0.7,0.121,6,85,15,198
"199",1,0,457,47,-0.37,24,-0.7,0.121,6,85,15,199
"200",1,1,397,103,-0.35,24,-0.7,0.121,6,85,15,200
"201",0,0,422,91,-0.29,24,-0.7,0.121,6,85,15,201
"202",0,1,424,113,-0.91,24,-0.7,0.121,6,85,15,202
"203",0,1,439,98,0.23,24,-0.7,0.121,6,85,15,203
"204",1,1,449,94,-0.48,30,-0.34,0.121,2.25,92,15,204
"205",0,1,506,39,0.97,12,0.35,0.121,2.5,119,15,205
"206",0,1,533,33,-0.97,5,-1.21,0.121,1,260,15,206
"207",1,1,446,38,-1.01,5,-1.21,0.121,1,260,15,207
"208",0,1,521,22,-0.76,5,-1.21,0.121,1,260,15,208
"209",0,1,412,118,1.46,12,0.89,0.113,2.3,206,16,209
"210",1,1,474,83,0.68,12,0.89,0.113,2.3,206,16,210
"211",1,1,447,78,0.05,12,0.89,0.113,2.3,206,16,211
"212",0,1,441,74,-1.52,12,0.89,0.113,2.3,206,16,212
"213",1,1,411,90,-0.02,12,0.89,0.113,2.3,206,16,213
"214",1,1,390,108,-0.44,12,-0.48,0.113,4,256,16,214
"215",0,1,429,51,-1.03,21,NA,0.261,2.83,7,17,215
"216",1,1,381,143,-0.49,5,-1.26,0.261,3.25,10,17,216
"217",0,1,419,69,-1.35,5,-1.26,0.261,3.25,10,17,217
"218",0,1,441,54,-0.49,19,-0.42,0.261,2.5,87,17,218
"219",0,1,379,129,-0.51,21,-2.31,0.261,3.33,177,17,219
"220",1,1,434,65,1.04,21,-2.31,0.261,3.33,177,17,220
"221",0,1,416,57,-0.72,21,-2.31,0.261,3.33,177,17,221
"222",0,1,403,49,-0.69,8,-1.42,0.261,3,216,17,222
"223",0,1,457,62,-0.93,8,-1.42,0.261,3,216,17,223
"224",0,1,419,71,-0.61,23,1.13,0.272,2.25,31,18,224
"225",1,0,409,75,0.57,23,1.13,0.272,2.25,31,18,225
"226",0,0,290,164,-0.14,23,1.13,0.272,2.25,31,18,226
"227",1,0,440,49,-0.03,23,1.13,0.272,2.25,31,18,227
"228",0,1,431,80,-0.18,1,-0.41,0.058,2.25,98,19,228
"229",0,1,437,37,-0.85,1,-0.41,0.058,2.25,98,19,229
"230",0,1,477,45,-0.13,1,-0.41,0.058,2.25,98,19,230
"231",0,1,416,56,1.56,1,-0.41,0.058,2.25,98,19,231
"232",1,1,455,50,-0.16,1,-0.41,0.058,2.25,98,19,232
"233",1,1,470,24,-0.36,30,-1.39,0.058,5.5,110,19,233
"234",0,1,456,101,-0.15,30,-1.39,0.058,5.5,110,19,234
"235",1,1,422,31,-0.61,30,-1.39,0.058,5.5,110,19,235
"236",1,1,484,51,1.22,30,-1.39,0.058,5.5,110,19,236
"237",1,1,463,57,0.29,2,-0.17,0.058,1.75,170,19,237
"238",1,1,398,79,-0.66,2,-0.17,0.058,1.75,170,19,238
"239",1,1,445,72,-0.8,19,-1.84,0.532,3.33,30,20,239
"240",1,1,484,29,-0.58,19,-1.84,0.532,3.33,30,20,240
"241",1,1,393,47,-0.51,19,-1.84,0.532,3.33,30,20,241
"242",1,1,447,68,-1.01,19,-1.84,0.532,3.33,30,20,242
"243",0,1,429,67,-0.47,5,-0.5,0.532,2.5,94,20,243
"244",0,1,453,41,-0.64,5,-0.5,0.532,2.5,94,20,244
"245",1,1,508,63,-0.24,5,-0.5,0.532,2.5,94,20,245
"246",1,1,462,97,0.61,5,-0.5,0.532,2.5,94,20,246
"247",0,1,435,67,-0.63,5,-0.5,0.532,2.5,94,20,247
"248",0,1,485,43,-0.4,5,-0.5,0.532,2.5,94,20,248
"249",0,1,484,68,-0.98,6,-0.84,0.532,2.25,101,20,249
"250",1,1,417,79,-1.16,6,-0.84,0.532,2.25,101,20,250
"251",0,1,431,36,-0.32,8,-0.12,0.187,3.75,6,21,251
"252",0,1,454,23,-0.03,8,-0.12,0.187,3.75,6,21,252
"253",0,0,452,34,0.28,8,-0.12,0.187,3.75,6,21,253
"254",1,1,448,44,0.31,8,-0.12,0.187,3.75,6,21,254
"255",1,0,405,60,0.33,8,-0.12,0.187,3.75,6,21,255
"256",0,1,460,86,0.2,14,-0.17,0.187,3.17,130,21,256
"257",0,1,435,24,-0.44,14,-0.17,0.187,3.17,130,21,257
"258",0,1,461,73,0.68,14,-0.17,0.187,3.17,130,21,258
"259",0,0,434,75,0.1,14,-0.17,0.187,3.17,130,21,259
"260",0,1,494,46,0.25,12,-0.13,0.187,4.5,158,21,260
"261",0,1,443,87,0.51,12,-0.13,0.187,4.5,158,21,261
"262",0,1,524,49,0.08,12,-0.13,0.187,4.5,158,21,262
"263",0,1,437,67,0.53,12,-0.13,0.187,4.5,158,21,263
"264",0,1,392,91,-0.8,12,-0.13,0.187,4.5,158,21,264
"265",0,1,457,28,-0.16,12,-0.13,0.187,4.5,158,21,265
"266",1,0,431,102,-1.1,12,-0.13,0.187,4.5,158,21,266
"267",1,1,494,39,0.37,12,-0.13,0.187,4.5,158,21,267
"268",0,1,433,46,-1.44,0,-0.72,0.438,2,159,22,268
"269",1,1,449,48,0.47,0,-0.72,0.438,2,159,22,269
"270",1,1,447,39,0.31,0,-0.72,0.438,2,159,22,270
"271",1,1,462,25,-0.3,0,-0.72,0.438,2,159,22,271
"272",0,1,459,82,-0.89,14,-0.76,0.282,2.25,43,23,272
"273",1,1,495,34,0.59,14,-0.76,0.282,2.25,43,23,273
"274",0,1,483,43,-0.78,14,-0.76,0.282,2.25,43,23,274
"275",1,1,462,117,-0.81,3,0.12,0.282,2,47,23,275
"276",0,1,447,74,-0.75,21,0.55,0.282,2.25,163,23,276
"277",1,1,497,30,-0.33,27,-1.02,0.263,2.25,55,24,277
"278",1,1,494,-2,0.19,27,-1.02,0.263,2.25,55,24,278
"279",1,1,427,65,0.68,27,-1.02,0.263,2.25,55,24,279
"280",1,1,447,30,-0.17,27,-1.02,0.263,2.25,55,24,280
"281",1,1,477,0,-0.87,27,-1.02,0.263,2.25,55,24,281
"282",0,1,539,-16,1.57,31,-1.68,0.263,3,77,24,282
"283",1,1,431,106,-0.34,5,0.72,0.263,2.25,93,24,283
"284",1,1,496,88,0.21,9,-0.79,0.263,2.5,150,24,284
"285",1,1,443,38,-0.03,15,-0.77,0.309,2.17,97,25,285
"286",1,1,469,27,0.03,15,-0.77,0.309,2.17,97,25,286
"287",1,1,374,59,-0.4,6,0.93,0.309,2,297,25,287
"288",1,1,513,-6,-0.76,6,0.93,0.309,2,297,25,288
"289",1,1,450,34,-0.03,6,0.93,0.309,2,297,25,289
"290",0,1,447,7,0.53,6,0.93,0.309,2,297,25,290
"291",0,1,450,39,-0.64,6,0.93,0.309,2,297,25,291
"292",0,1,439,97,0.67,4,0.61,0.564,2.25,78,26,292
"293",0,1,480,56,-0.03,4,0.61,0.564,2.25,78,26,293
"294",1,1,497,56,-1.37,4,0.61,0.564,2.25,78,26,294
"295",1,1,482,43,-0.25,4,0.61,0.564,2.25,78,26,295
"296",0,1,409,71,0.35,4,0.61,0.564,2.25,78,26,296
"297",1,1,466,42,-0.53,4,0.61,0.564,2.25,78,26,297
"298",0,1,439,88,-0.32,4,0.61,0.564,2.25,78,26,298
"299",0,1,430,86,1.04,4,0.61,0.564,2.25,78,26,299
"300",1,1,470,41,0.4,13,1.31,0.564,4.75,102,26,300
"301",0,1,476,43,-0.03,13,1.31,0.564,4.75,102,26,301
"302",0,1,481,78,-1.35,13,1.31,0.564,4.75,102,26,302
"303",0,1,443,65,-0.03,0,0.59,0.564,2,139,26,303
"304",1,1,415,-2,-0.03,0,0.59,0.564,2,139,26,304
"305",1,1,503,41,0.54,0,0.59,0.564,2,139,26,305
"306",0,1,468,64,0.21,0,0.59,0.564,2,139,26,306
"307",0,0,515,30,1.02,9,0.43,0.05,3,104,27,307
"308",0,0,505,48,1.14,9,0.43,0.05,3,104,27,308
"309",0,0,440,44,0.51,9,0.43,0.05,3,104,27,309
"310",0,0,454,25,-0.63,9,0.43,0.05,3,104,27,310
"311",0,0,520,69,0.36,9,0.43,0.05,3,104,27,311
"312",1,0,542,138,2.27,9,0.43,0.05,3,104,27,312
"313",1,0,498,81,0.52,6,0.15,0.05,2.17,190,27,313
"314",1,0,495,41,-0.39,6,0.15,0.05,2.17,190,27,314
"315",0,0,491,54,-0.18,6,0.15,0.05,2.17,190,27,315
"316",1,0,499,88,-0.38,6,0.15,0.05,2.17,190,27,316
"317",1,0,450,56,-0.2,6,0.15,0.05,2.17,190,27,317
"318",0,0,471,82,-0.06,6,0.15,0.05,2.17,190,27,318
"319",1,0,497,78,0.45,6,0.15,0.05,2.17,190,27,319
"320",0,0,568,19,1.28,6,0.15,0.05,2.17,190,27,320
"321",0,0,509,24,0.63,12,0.01,0.05,1,230,27,321
"322",1,0,544,3,0.02,12,0.01,0.05,1,230,27,322
"323",0,0,536,42,-0.01,3,-0.59,0.05,2,262,27,323
"324",0,0,510,67,0.29,3,-0.59,0.05,2,262,27,324
"325",1,0,408,76,0.8,3,-0.59,0.05,2,262,27,325
"326",0,0,471,54,0.05,3,-0.59,0.05,2,262,27,326
"327",1,0,513,113,2.18,3,-0.59,0.05,2,262,27,327
"328",0,1,544,-5,0.4,26,-0.92,0.214,2,114,28,328
"329",1,1,464,33,-1.45,26,-0.92,0.214,2,114,28,329
"330",1,1,467,47,-1.1,26,-0.92,0.214,2,114,28,330
"331",0,1,397,50,0,26,-0.92,0.214,2,114,28,331
"332",0,1,414,71,0.36,5,-0.72,0.214,2,118,28,332
"333",0,1,511,11,-0.95,27,0.74,0.214,3,202,28,333
"334",0,1,524,2,0.22,27,0.74,0.214,3,202,28,334
"335",1,1,454,10,-0.67,27,0.74,0.214,3,202,28,335
"336",1,1,478,49,0.22,15,-0.6,0.214,1,203,28,336
"337",1,1,290,197,-0.46,15,-0.6,0.214,1,203,28,337
"338",1,0,493,39,0.45,19,0.46,0.102,3.75,115,29,338
"339",1,0,483,89,-0.06,19,0.46,0.102,3.75,115,29,339
"340",0,1,490,56,-0.72,19,0.46,0.102,3.75,115,29,340
"341",1,1,489,34,-0.85,19,0.46,0.102,3.75,115,29,341
"342",1,1,505,17,-0.05,10,0.28,0.102,2,223,29,342
"343",0,0,452,87,1.04,10,0.28,0.102,2,223,29,343
"344",1,1,536,-7,-0.35,10,0.28,0.102,2,223,29,344
"345",1,0,537,42,-0.72,10,0.28,0.102,2,223,29,345
"346",0,1,475,13,0.83,2,0.34,0.085,2,175,30,346
"347",1,1,451,29,-0.1,2,0.34,0.085,2,175,30,347
"348",0,1,401,41,-0.37,2,0.34,0.085,2,175,30,348
"349",1,1,497,-2,-0.05,14,NA,0.012,4,51,31,349
"350",0,1,406,64,-0.35,14,NA,0.012,4,51,31,350
"351",0,1,460,41,-0.05,14,NA,0.012,4,51,31,351
"352",1,1,432,18,-0.48,14,NA,0.012,4,51,31,352
"353",1,1,414,61,-0.78,14,NA,0.012,4,51,31,353
"354",0,1,370,91,-0.8,14,NA,0.012,4,51,31,354
"355",0,1,405,94,-0.25,8,-0.72,0.012,2,156,31,355
"356",0,1,454,31,0.02,8,-0.72,0.012,2,156,31,356
"357",0,1,454,55,0.25,8,-0.72,0.012,2,156,31,357
"358",1,1,471,14,-0.72,8,-0.72,0.012,2,156,31,358
"359",1,1,463,43,-0.23,8,-0.72,0.012,2,156,31,359
"360",1,1,448,70,1.06,8,-0.72,0.012,2,156,31,360
"361",0,1,480,76,-0.88,12,1.18,0.012,5.25,234,31,361
"362",1,1,467,25,-0.12,12,1.18,0.012,5.25,234,31,362
"363",1,1,495,45,-0.38,12,1.18,0.012,5.25,234,31,363
"364",1,1,451,44,1.34,12,1.18,0.012,5.25,234,31,364
"365",1,1,370,163,-0.96,12,1.18,0.012,5.25,234,31,365
"366",1,1,435,97,0.01,12,1.18,0.012,5.25,234,31,366
"367",1,1,410,84,-0.03,12,1.18,0.012,5.25,234,31,367
"368",1,1,451,-20,0.39,20,-1.21,0.012,2,258,31,368
"369",1,1,487,13,-0.42,20,-1.21,0.012,2,258,31,369
"370",0,1,453,7,-0.53,20,-1.21,0.012,2,258,31,370
"371",0,1,470,100,0.01,9,0.12,0.261,2,191,32,371
"372",1,1,488,61,0.6,18,-0.83,0.261,2.25,204,32,372
"373",1,1,561,3,1.06,18,-0.83,0.261,2.25,204,32,373
"374",1,1,452,92,0.49,24,-0.24,0.261,2,252,32,374
"375",0,1,516,32,-0.5,24,-0.24,0.261,2,252,32,375
"376",1,1,470,68,0.54,24,-0.24,0.261,2,252,32,376
"377",1,1,515,56,-0.36,24,-0.24,0.261,2,252,32,377
"378",0,1,492,74,-0.74,24,-0.24,0.261,2,252,32,378
"379",1,1,529,-12,-0.03,24,-0.24,0.261,2,252,32,379
"380",1,1,398,65,-0.12,19,-0.45,0.047,4.5,26,33,380
"381",1,1,453,49,-0.72,19,-0.45,0.047,4.5,26,33,381
"382",1,1,523,47,-0.29,19,-0.45,0.047,4.5,26,33,382
"383",1,1,440,94,-0.03,19,-0.45,0.047,4.5,26,33,383
"384",0,1,419,102,0.01,19,-0.45,0.047,4.5,26,33,384
"385",0,1,395,103,-0.09,19,-0.45,0.047,4.5,26,33,385
"386",0,1,483,32,-1.17,19,-0.45,0.047,4.5,26,33,386
"387",1,1,439,100,0.6,19,-0.45,0.047,4.5,26,33,387
"388",1,1,498,53,1.32,19,-0.45,0.047,4.5,26,33,388
"389",1,1,478,96,0.99,19,-0.45,0.047,4.5,26,33,389
"390",0,1,508,-20,-0.4,1,NA,0.047,2.3,32,33,390
"391",1,1,496,29,1.17,1,NA,0.047,2.3,32,33,391
"392",0,1,448,101,-0.31,1,NA,0.047,2.3,32,33,392
"393",1,1,483,12,-0.03,1,NA,0.047,2.3,32,33,393
"394",0,1,476,27,0.2,2,-0.72,0.047,5.5,88,33,394
